50 50 49 2 3 49
NEW |NW |NE |NW |NS |NE |NSW |N |NS |NS |NS |NS |NE |NW |NE |NW |NS |NE |NW |NS |NS |NS |NS |N |NE |NSW |NS |N |NSE |NW |NS |N |NE |NSW |NS |NS |N |NE |NSW |N |N |NSE |NW |NS |N |NE |NW |NE |NSW |NE |
EW |EW |NEW |SW |NS |NS |NE |SW |NS |NS |NE |SEW |NW |NS |SE |EW |SW |N |NS |S |NSE |EW |NW |NSE |SW |NE |NW |NSE |SW |NS |NS |NE |SEW |EW |NW |NE |SW |E |EW |EW |SEW |SW |NE |NW |NS |NE |EW |EW |NW |E |
EW |EW |SW |N |NE |NW |S |NS |NE |NW |SE |NW |SE |NSW |NS | |NE |EW |NW |NE |NW |SE |SW |NS |NS |S |SE |NW |N |NS |NSE |SW |NE |SW |SE |SW |NE |SEW |SW |SE |NW |NS |SE |EW |NEW |EW |SEW |EW |EW |EW |
EW |SW |NS |SE |EW |SW |NE |NW |SE |SW |NE |W |NE |NW |NE |EW |EW |SW |SE |SEW |W |NS |NS |NS |N |NS |NS |SE |SW |NS |NS |NE |SW |NS |NS |NE |EW |NW |NS |N |SE |NW |NS |SE |EW |SW |NE |EW |EW |EW |
W |N |NS |NE |EW |NEW |EW |SEW |NW |NS |SE |EW |SW |SE |EW |EW |EW |NW |NS |NE |W |NSE |NW |NE |SW |NS |NS |NE |NSW |N |NE |SW |NS |N |NE |EW |EW |SW |NE |SW |NE |EW |NSW |NS |E |NW |E |SW |SE |EW |
EW |EW |NSW |SE |EW |EW |SW |NS |SE |NSW |NS |E |NSW |NE |EW |SEW |SW |S |NE |EW |EW |NW |SE |EW |NSW |NS |NE |SW |N |SE |SEW |NW |NE |SEW |SW |S |SE |NW |SE |NEW |EW |SW |NS |NS |E |EW |SW |NE |NW |SE |
EW |SW |NS |NE |SW |E |NW |NS |NS |N |NE |SW |NS |SE |W |NS |NE |NSW |SE |EW |SEW |SW |NE |SW |NS |NE |SW |N |SE |NW |NS |SE |SW |NS |NS |NS |NS |SE |NW |E |SW |N |NS |NSE |EW |EW |NSW |SE |EW |NEW |
EW |NEW |NW | |NSE |EW |SW |NS |NSE |EW |SW |NS |NS |NE |SW |NSE |SW |NS |NE |W |NE |NW |S |NS |NSE |SW |NE |SW |NE |SW |NS |NS |NS |NS |NE |NW |NS |N |SE |SW |NSE |SW |NE |NW |SE |SW |NS |NS |SE |EW |
W |SE |EW |EW |NW |SE |NW |NS |NS |SE |NW |NS |NSE |SW |NS |NS |NS |NE |EW |SEW |W |SE |NW |NE |NW |NE |EW |NEW |EW |NEW |NW |N |NSE |NW |SE |SW |NSE |SW |NS |NS |NS |NE |EW |EW |NSW |NS |N |NS |NE |EW |
EW |NW |SE |SEW |SW |NS |SE |NEW |NW |NS |S |NS |N |NS |NSE |NW |NS |SE |SW |NE |SW |NSE |EW |SW |SE |SW |SE |EW |EW |SW |SE |SW |NE |EW |NSW |N |NS |NS |NE |NW |NE |EW |EW |SW |NE |NW |SE |NEW |SW |E |
EW |SW |NE |NW |NE |NW |NS |S |SE |NW |NSE |NW |E |NW |NS |SE |NSW |N |NS |SE |NW |NE |SW |NE |NW |NS |NE |EW |SW |NS |NS |NS |E |SW |NE |SW |NS |NE |SW |SE |EW |EW |W |NSE |SW |SE |NSW |E |NW |SE |
EW |NW |SE |EW |SW |S |NS |NS |NS |E |NW |SE |EW |EW |NEW |NW |N |SE |NW |NS |SE |EW |NW |E |EW |NEW |EW |SW |NS |N |NE |NEW |EW |NEW |SW |NS |NE |EW |NW |NE |EW |EW |EW |NW |NE |NW |N |SE |SW |NE |
EW |SW |NE |W |NSE |NW |NS |NE |NSW |SE |SW |NE |SEW |EW |W |SE |EW |NW |S |NS |NE |SW |E |SEW |EW |EW |EW |NW |NE |EW |SW |SE |EW |SW |NS |NE |EW |EW |SEW |W |S |SE |SW |SE |SW |SE |SW |NS |NS |SE |
SW |NE |SW |SE |NW |SE |NW |SE |NW |NE |NW |E |NW |SE |W |NSE |EW |EW |NSW |NE |EW |NEW |EW |NW |SE |EW |SW |SE |EW |SW |NS |NS | |NS |NS |SE |EW |SW |NE |SW |NSE |NW |NS |N |NE |NSW |NS |NS |NS |NE |
NEW |EW |NSW |NE |SW |NE |SW |NS |E |SW |SE |SEW |EW |NEW |EW |NW |SE |SW |NS |E |EW |W |SE |EW |NEW |W |NS |NE |SW |NS |NS |NE |EW |NW |NS |NE |SW |NE |SW |NS |NS | |NSE |EW |EW |NW |NE |NW |NE |EW |
W |SE |NW |S |NE |SW |NS |NE |SEW |NW |NS |NE |EW |SW |SE |EW |NW |NS |NE |EW |EW |SEW |NW |SE |SW |SE |NW |S |NE |NSW |NE |EW |SEW |EW |NEW |SW |NS |SE |NW |NS |NE |SEW |NW |SE |EW |EW |EW |EW |EW |EW |
SW |NS |SE |NSW |S |NS |NSE |SW |NS |S |NSE |SW |S |NS |NS |SE |SW |NSE |SW |SE |SW |NS |S |NS |NS |NS |SE |NSW |S |NS |SE |SW |NS |S |S |NS |NS |NS |SE |NSW |S |NS |SE |NSW |S |SE |SW |SE |SW |SE |

