100 100 2 2 97 99
NSW |NS |NS |NS |NS |NE |NW |NE |NW |NS |N |NS |NS |NSE |NW |N |NS |NS |NE |NW |NS |NS |N |NS |NS |NE |NW |N |NSE |NW |N |NE |NSW |NS |NS |NS |NS |N |NE |NW |NS |NS |NE |NSW |N |NS |NS |NS |NS |NE |NSW |NE |NW |N |NE |NSW |N |NS |NSE |NW |NE |NW |N |NE |NW |N |NS |NE |NW |N |NS |NE |NW |N |NSE |NW |NS |NS |NS |N |NSE |NW |NS |NE |NW |NE |NW |NS |N |NE |NEW |NW |NS |NS |N |NS |NE |NW |NS |NE |
W |NE |EW |NW |NSE |EW |SEW |EW |W |NSE |SW |NE |SW |NE |EW |EW |SW |NE |NW |NS |S |NSE |SW |N |S |SE |NW |NS |NE |SW |NS |NE |NEW |NW |S |NSE |SW |N |SE |NEW |EW |SEW |W |NE |SW |NE |SW |NE |SW |NE |SW |SE |EW |SW |NE |SW |NS |NE |EW |SEW |EW |NSW |NS |E |SW |SE |SW |NS |NS |NE |NW |NS |S |NE |SW |SE |SW |NE |SEW |NW |NE |SW |NS |SE |NW |NS |NE |NW |S |NS |NSE |EW |EW |SW |NS |NS |NS |SE |NEW |EW |
EW |EW |EW |EW |NW |SE |NW |SE |SW |NE |NW |SE |NEW |W |SE |SW |NE |EW |SW |NE |NW |NS |NE |SW |NE |NW |SE |NEW |SW |NS |NE |EW |EW |EW |NW |NS |NE |SW |NS |SE |SW |NE |EW |SW |NE |W |NE |SW |NS |S |NS |NE |W |NE |SW |NE |NW |S |SE |NW |SE |NW |NS |SE |NW |NS |N |NSE |NW |SE |EW |NSW |NS |S |NSE |NW |NS |SE |NW |SE |SW |NS |NS |NS |S |NE |SW |SE |NW |NE |NW |SE |W |NS |NS |NE |NW |NS |E |EW |
SEW |EW |EW |EW |SW |NS |SE |NW |NE |EW |EW |NW |S |SE |NW |NE |EW |EW |NSW |SE |SW |NE |EW |NSW |SE |EW |NW |S |N |NSE |EW |EW |SW |SE |SW |NE |EW |NW |NE |NW |NS |SE |SW |NE |EW |EW |SW |NS |NS |NS |NE |EW |EW |EW |NEW |EW |SEW |NW |NS |SE |NW |SE |NSW |N |S |NE |SEW |NW |SE |NSW |S |NS |NE |NW |NS |SE |NW |NS |SE |NSW |NS |NE |NW |NS |NE |SW |N |NSE |EW |SW |SE |NW |SE |NW |NE |EW |EW |NEW |EW |EW |
NW |SE |SW |S |NS |NE |NW |SE |EW |SW |SE |SEW |NW |NS |SE |W |SE |EW |NW |NS |N |SE |SW |NS |NE |EW |SW |NE |SW |NS |SE |SW |NS |NS |NE |EW |EW |EW |EW |EW |NW |N |NE |EW |EW |EW |NW |NS |NS |NE |EW |SW |SE |EW |EW |SW |NE |EW |NW |NS |S |NS |NE |EW |NW |SE |NW |SE |NW |NE |NW |NE |EW |SW |NS |NE |EW |NW |NS |NS |NS |E |SW |NE |SW |NE |SEW |NW |SE |NSW |NS |E |NW |SE |EW |SW |SE |EW |EW |EW |
W |NS |NE |NSW |NE |SW |SE |NEW |EW |NSW |N |NS |SE |NSW |NS |SE |NW |SE |EW |NW |SE |NW |NE |NEW |EW |SW |NE |SW |NS |NS |NS |NS |NE |NW |E |EW |SW |SE |SW |SE |SEW |EW |EW |SEW |EW |EW |W |NS |NSE |SW |S |NSE |NW |S |S |NSE |W |SE |SW |NS |NE |NEW |EW |EW |SW |NS |S |N |SE |SW |SE |W |SE |NW |NS |SE |EW |SW |N |NE |NEW |EW |NEW |EW |NSW |S |NS |SE |NW |N |NS |SE |SW |NE |SW |NS |NS |S |SE |EW |
SW |NSE |EW |NW |S |NS |NS |SE |SW |NE |SW |NE |NW |NS |NS |NS |SE |NW |SE |SEW |NW |SE |EW |EW |SW |NE |SW |NS |NS |NS |NE |NEW |EW |EW |SEW |EW |NSW |N |NS |NS |NS |E |SW |NS |SE |EW |SEW |NW |NS |NS |NS |NS |S |NSE |NW |NE |SW |NS |NS |NE |EW |EW |EW |SW |NSE |NW |NE |EW |NW |NE |NSW |E |NW |E |NW |NE |SW |NE |SEW |EW |W |SE |EW |SW |NE |NW |NS |NS |SE |EW |NW |NS |NE |SW |NS |NE |NW |NS |NS |SE |
NW |NE |EW |SW |NE |NW |NS |N |NSE |SW |NE |EW |EW |NW |NS |NE |NSW | |NS |NS |SE |NW |SE |SW |NE |SW |NS |NE |NW |NS |SE |EW |EW |SW |NE |SW |NE |SW |NE |NW |NE |EW |NW |NE |NSW |S |N |S |NS |NS |NS |NS |NSE |NW |SE |SW |NS |NE |NEW |EW |SW |SE |SW |NS |NS |E |EW |SEW |EW |SW |NE |SEW |EW |SEW |EW |W |NSE |SW |NE |EW |EW |NW |S |NE |EW |SW |NE |NW |NE |SW |E |NEW |EW |NW |NS |SE |SW |NE |NW |NE |
EW |SW |SE |NW |SE |EW |NEW |EW |NW |NS |SE |EW |EW |EW |NEW |SW |NE |SW |NSE |NW |NS |SE |NSW |N |S |NE |NEW |EW |EW |NW |NS |E |SW |NE |W |NE |SW |NE |EW |EW |EW |EW |EW |SW |NS |NE |SW |NSE |NW |NE |NW |NS |NE |EW |NEW |NW |NS |SE |EW |SW |NS |NS |NS |NS |NE |SEW |SW |NE |SW |NE |SW |NE |SW |NE |EW |SW |NS |NS |S |SE |SW |SE |NSW |E |EW |NEW |EW |EW |SW |NE |SW |SE |EW |SW |NE |NW |NSE |SW |SE |EW |
EW |NW |NS |S |N |S |SE |EW |EW |NSW |N |E |SW |SE |W |NE |SW |NS |NE |SW |NE |NW |NS |SE |NEW |SW |E |EW |EW |SW |NE |W |NE |EW |EW |SW |NS |SE |SW |SE |EW |SEW |EW |NW |NS |SE |NW |NE |EW |EW |EW |NSW |S |SE |W |SE |NEW |NW |S |NS |NS |NS |NS |NE |SW |NE |NW |E |NEW |EW |NSW |S |NS |SE |EW |NSW |N |NE |NEW |NW |NS |NS |NE |SEW |EW |SW |SE |EW |NW |SE |NW |NS |SE |NW |SE |W |NE |NW |NS |SE |
EW |SEW |NW |NE |SEW |NW |NS |E |EW |NW |SE |EW |NW |N |SE |SW |NS |NE |SW |NS |SE |EW |NSW |NS |S |NS |SE |EW |SW |NE |EW |EW |SEW |EW |SW |NS |NE |NW |NS |NE |EW |NW |SE |SW |NS |NE |EW |SW |SE |EW |SW |NS |NE |NEW |SW |NE |EW |W |NSE |NW |NE |NW |NS |S |NE |EW |EW |SW |SE |SW |NE |NW |NS |NS |S |NS |SE |SW |E |EW |NW |NE |SW |NE |EW |NW |NS |SE |SW |NE |W |NS |NE |SW |NE |SEW |EW |SW |NE |NEW |
EW |NW |SE |SW |NE |EW |NW |SE |EW |EW |NW |SE |SEW |EW |NW |NS |NE |SW |NS |NE |NW |SE |NW |NS |NS |NS |NS |SE |NW |SE |EW |SW |NS |SE |NW |NSE |SW |SE |NEW |EW |EW |SW |NE |NW |NE |SW |SE |NW |NE |SW |NS |NS |SE |W |NSE |EW |SW |SE |NW |SE |EW |W |NS |NE |EW |SW |E |NW |NS |NE |EW |EW |NEW |NW |NS |NS |NS |NE |SEW |EW |EW |EW |NSW |S |E |SW |NE |NW |NS |SE |EW |NEW |SW |NE |SW |NS | |NSE |EW |EW |
EW |EW |NEW |NW |SE |EW |W |NSE |SW |SE |SW |NE |NW |SE |W |NE |SW |NS |NSE |SW |E |NW |SE |NSW |NS |N |NE |NW |SE |NEW |EW |NW |NS |NE |SW |NS |N |NE |W |S |S |NSE |EW |EW |W |NS |NSE |EW |SW |N |N |NSE |NW |S |NE |EW |NW |NS |SE |NEW |EW |EW |NW |SE |SEW |NW |SE |EW |NEW |EW |SW |S |SE |EW |NSW |N |NE |SW |NE |EW |EW |EW |NW |NE |SEW |NW |SE |EW |NW |NE |EW |W |NE |SW |NS |NE |EW |NW |SE |EW |
EW |SW |E |EW |NSW |E |SEW |NW |NS |NS |NS |S |SE |NW |SE |SW |NS |NS |N |NS |SE |SW |NS |NE |NW |SE |EW |EW |NW |SE |SW |SE |NEW |EW |NW |NS |SE |SEW |SW |NE |NW |NS |SE |EW |SW |NE |NW |SE |NW |SE |EW |NW |SE |NEW |SW |SE |W |NS |NE |SW |E |SEW |SW |NS |N |S |NSE |EW |EW |SW |NS |NS |NE |SW |NE |EW |EW |NW |SE |EW |EW |SW |SE |SW |NS |S |NSE |EW |SEW |SW |E |SEW |SW |N |NE |EW |SEW |SW |NS |E |
W |NS |SE |SW |NE |W |NE |EW |NW |NS |NS |NE |NSW |S |NE |NEW |NW |NE |EW |NW |N |NSE |NW |SE |EW |NEW |SW |SE |SW |N |N |NSE |W |SE |EW |NW |NS |NS |NS |SE |EW |NW |NE |SW |NSE |SW |E |NEW |EW |NSW |SE |EW |NW | |NS |NE |EW |NEW |SW |NE |SW |NS |NS |NE |SW |NSE |NW |SE |EW |NW |NE |NW |SE |NW |SE |EW |EW |EW |NW |SE |EW |NW |NS |NS |NS |NSE |NW |SE |NW |NE |SW |NS |N |SE |SEW |EW |NW |NS |NE |EW |
SW |NS |NE |NEW |EW |SEW |SW |SE |SW |NS |NE |SW |NE |NSW |S |SE |EW |EW |EW |EW |SW |NS |SE |NW |SE |W |NS |N |NS |SE |SEW |NW |SE |NW |E |EW |NW |NE |NW |NSE |SW |SE |EW |NW |NS |NE |SW |E |SW |NS |NE |EW |SEW |EW |NEW |EW |W |S |NSE |EW |NW |NS |NE |SW |NS |NE |SW |NE |SW |SE |W |SE |NSW |E |NW |SE |EW |EW |EW |NW |SE |SW |NE |NW |NS |NE |SW |NE |EW |SW |NE |NSW |SE |NW |NS |SE |EW |NEW |SW |SE |
NSW |NE |SW |E |SW |NE |NW |NS |NS |NS |SE |NEW |SW |NS |NS |NS |SE |EW |SEW |EW |NW |NSE |NW |S |NE |SW |NE |SW |NE |NW |NE |EW |NW |SE |SW |SE |EW |EW |W |NS |N |NSE |EW |EW |NSW |S |NE |SW |NE |NW |SE |SW |NS |SE |EW |EW |SEW |NW |NS |SE |W |NSE |W |NE |NW |SE |NW |SE |NW |NE |SW |NS |NE |EW |EW |NW |SE |EW |SW |S |NE |NW |SE |EW |NEW |SW |NE |W |SE |NW |SE |NW |NE |EW |NW |NS |SE |W |NE |NEW |
NW |S |NE |SW |NE |EW |EW |NW |NE |NW |N |S |NS |NE |NEW |NW |NS |E |NW |SE |W |NE |SW |NE |EW |NSW |S |NE |SW |SE |EW |EW |SW |NE |NSW |NS |E |EW |SW |NSE |EW |NW |SE |W |NS |NE |EW |NSW |SE |SW |N |NS |NS |NE |EW |SW |NS |SE |NEW |NW |SE |NW |SE |SEW |SW |NE |SW |NS |E |EW |NSW |NE |SW |SE |EW |SW |NE |EW |NW |NE |SW |SE |NW |SE |EW |NW |SE |EW |NEW |SW |NS |SE |EW |SW |S |NS |NS |SE |SW |E |
W |NE |W |NSE |EW |SW |SE |SEW |SW |SE |EW |NW |NE |W |SE |SW |NE |EW |EW |NW |SE |SW |N |SE |SW |NE |NSW |S |NE |NEW |SW |SE |NEW |SW |NE |NW |E |SW |NS |NS |SE |EW |NEW |EW |NEW |EW |SW |NS |NS |NE |EW |NW |NS |S |SE |NW |N |NS |SE |EW |NEW |SW |NS |N |NSE |EW |NW |NE |SEW |SW |NE |W |NS |NS |SE |NEW |EW |EW |EW |SW |NS |NS |SE |NW |E |EW |NEW |SW |S |NS |NS |NE |SW |NE |NSW |NE |NW |NS |NE |EW |
EW |EW |SEW |NW |SE |NSW |N |NS |NS |NE |EW |SEW |W |SE |NW |NS |SE |EW |EW |SEW |NW |NE |EW |NW |NSE |SW |NE |NEW |SW |E |NSW |NS | |NE |EW |EW |EW |NW |N |NS |NS |SE |SW |S |SE |SW |NS |NE |NSW |S |SE |EW |NW |NS |NE |EW |EW |NW |NE |SW |E |NSW |NE |SW |NE |EW |EW |SW |NS |NE |EW |EW |NW |NE |NW |S |SE |SW |SE |NSW |N |NS |NE |SEW |EW |EW |SW |N |NS |NS |NSE |EW |NEW |SW |NE |EW |SW |NE |SW |SE |
SEW |EW |NW |SE |NW |NS |SE |NEW |NW |SE |W |NE |SW |NE |EW |NSW |N |SE |EW |NW |SE |EW |EW |SW |N |NSE |EW |W |NE |SW |NS |NE |EW |SW |S |SE |SEW |EW |EW |NW |NS |NS |NS |NS |NS |NS |NE |W |NE |NW |NE |SEW |SW |NE |SW |SE |SW |SE |W |NSE |SW |NS |S |NE |EW |SW |SE |NW |NE |SW |SE |EW |EW |SEW |EW |NEW |NW |NS |NS |N |SE |NEW |SW |NE |EW |SW |NE |W |NS |NS |NS |SE |EW |NW |SE |W |NSE |SW |NS |NE |
NW |SE |EW |NSW |E |NSW |NE |W |SE |NW |SE |EW |NSW |E |SW |NE |SW |NE |SW |SE |NEW |EW |SW |NS |E |NW |SE |SEW |W |NSE |NW |SE |EW |NW |NSE |NW |NS |SE |SEW |EW |NW |NS |NS |NE |NW |NE |EW |EW |SW |SE |SW |NS |NE |SW |NE |NSW |N |NE |SW |NS |NS |N |NSE |EW |W |NS |NS |E |SEW |NW |NS |E |SW |NS |S |SE |EW |NEW |NW |SE |NSW |S |NE |W |S |NSE |EW |SW |NE |NW |NS |NS |SE |EW |NW |E |NW |NE |NW |SE |
W |NE |SW |NS |SE |NW |E |EW |NW |S |NSE |SW |NE |SW |NE |SW |NE |EW |NW |NS |E |EW |NSW |NS |SE |EW |NW |NS |SE |NW |SE |NSW |S |SE |NW |E |NW |NS |NE |EW |EW |NSW |N |SE |EW |SW |SE |SEW |NW |NE |NW |NS |S |NE |SW |NE |SEW |SW |N |NS |NSE |W |NE |EW |SW |NE |NW |SE |NW |SE |NEW |SW |NS |NS |NS |NS |SE |EW |EW |NW |NS |NE |W |SE |NW |NS |SE |NW |SE |SW |NE |NW |NS |SE |SEW |SW |SE |EW |EW |NEW |
EW |W |NSE |NW |N |SE |SEW |EW |W |NSE |NW |NS |SE |NEW |EW |NEW |EW |W |SE |NSW |E |SW |NS |NS |NS |SE |W |NS |NS |SE |NSW |N |NE |NW |SE |SEW |EW |NEW |SW |SE |SW |NE |EW |NW |SE |NW |NS |NS |SE |EW |EW |NW |NSE |W |NSE |SW |N |NS |SE |NW |NE |SEW |SW |S |NE |EW |EW |NEW |EW |NSW |S |N |N |NS |NS |NS |NE |EW |EW |SW |NE |EW |SW |NSE |SW |NE |NW |SE |NW |NS |E |SW |NS |NS |NS |NS |NE |EW |EW |EW |
EW |SW |NE |EW |SW |NS |NS |SE |SEW |NW |SE |NW |NS |E |EW |EW |EW |SEW |NW |NE |SEW |NW |NS |NS |N |NSE |SW |NS |NE |NW |N |SE |EW |W |NS |NS |S |SE |NW |NS |NS |SE |SW |SE |NSW |S |NS |NE |NSW |S |SE |W |NS |SE |NW |NS |SE |NW |NS |SE |SW |NS |NE |NEW |EW |EW |EW |EW |EW |NW |NE |SEW |SW |NE |NW |NE |EW |EW |SW |NS |SE |SW |NS |NE |NW |SE |SW |NS |SE |NSW |S |NS |NS |NSE |NW |NS |SE |EW |SW |E |
EW |NW |E |EW |NSW |NS |N |NS |NS |SE |NW |SE |NEW |SW |SE |EW |SW |NS |SE |SW |NS |SE |NW |NSE |SW |NE |NW |NE |EW |SEW |SW |NE |EW |SW |NE |NW |NS |NE |EW |NW |N |NSE |NW |NS |N |NS |NE |SW |NS |NE |NW |S |NSE |NW |SE |NW |NE |SW |NE |NW |NSE |NW |SE |SW |E |EW |SW |E |SW |SE |SW |NS |NS |SE |EW |EW |EW |W |NS |NS |NS |NS |NE |SW |SE |NW |N |NE |NW |NS |NS |NE |NW |NE |SW |NS |NE |W |NSE |EW |
SEW |EW |EW |SW |NS |NE |SW |NS |NE |NEW |EW |NW |S |N |NE |SW |N |NS |NS |NS |NS |NS |S |N |NE |EW |EW |EW |EW |NW |NS |SE |SW |NE |EW |EW |NSW |S |SE |EW |SW |NS |SE |NW |SE |NW |SE |NW |NS |SE |EW |NW |NS |SE |NW |SE |W |NSE |EW |W |NE |SW |NS |NE |SEW |SW |NE |SW |NS |NS |NS |NE |NSW |N |E |EW |SW |SE |NW |NE |NW |NS |SE |NSW |NS |SE |EW |EW |SW |NE |NEW |SW |SE |SW |NS |NS |SE |W |NE |EW |
NW |SE |SW |N |NSE |SW |NS |NS |SE |EW |EW |SW |NSE |EW |SW |NE |EW |NW |NE |NW |NS |NE |NW |SE |EW |SW |SE |SW |SE |W |NE |NEW |NW |SE |SEW |W |NS |NE |NSW |E |NSW |N |NE |SW |NE |SW |NS |SE |NW |NS |SE |EW |NW |NS |SE |NSW |SE |NW |SE |EW |SW |N |NSE |SW |NS |NS |SE |NSW |N |NS |NE |SW |NE |SEW |EW |SEW |NW |NE |EW |EW |EW |NW |NS |NS |NE |NW |SE |SW |NS |SE |W |NE |NW |NE |NW |N |NSE |EW |SW |SE |
W |NE |NSW |SE |NW |NS |NS |NS |NS |E |EW |NW |NS |SE |NSW |E |EW |EW |EW |SW |NE |EW |SW |NE |SW |NS |NS |NS |NE |EW |EW |SW |S |NS |NE |SW |NE |SW |NE |SW |N |SE |SW |NE |SW |NS |NS |NE |EW |NSW |NE |SW |E |NW |NS |NS |NS |SE |NEW |SW |NE |SW |NS |NE |NW |N |NS |NS |SE |NEW |SW |NE |EW |NW |SE |NW |SE |EW |EW |EW |SW |SE |NW |NE |SW |SE |NW |NS |NS |NS |SE |SW |SE |EW |EW |SW |NS |SE |NW |NSE |
SEW |SW |NS |NE |EW |NSW |N |NS |NSE |SW |SE |EW |NW |NS |NE |EW |SEW |EW |W |NS |SE |SW |NE |EW |NW |NS |NE |NW |SE |SEW |EW |NW |NS |NE |EW |NEW |EW |NW |SE |NW |SE |NW |NE |EW |NW |NS |NS |SE |SW |NE |W |NSE |EW |SW |NE |NW |NS |NS |S |NS |S |NSE |NW |E |EW |EW |NW |NS |NS |S |NE |EW |EW |EW |NW |SE |NEW |SW |SE |W |NS |NS |SE |EW |NW |NS |SE |NEW |NW |N |NS |NE |NEW |SW |SE |NW |NS |NS |S |NE |
